reviewId,content,score,true_label_binary,true_label_multi
2a69a379-ca68-4a4d-a97e-ee4c2d2c9bef,Certain artists weren't playable due to copyright issues in some regions which is understandable. I was happy to wait till it got resolved. The songs that were unavailable used to appear "greyed out" and weren't playable. Spotify now has removed all the "greyed out" songs from even being displayed. Is it so that people who aren't looking closely don't realise anything is missing? I've been a premium user but I'm moving to a different streaming service where every artist is available,1,0,0
c668b14a-5306-4cec-89ed-40109e1507ad,The app deleted all my downloaded songs!! Why am I paying for premium when it doesn't even function properly??,1,0,0
24a21260-bf22-46f9-8e28-284ba78e70eb,"I am gladly cancelling the subscription. The app gets worse and worse. Podcasts are what it looks like played, but you can't hear a thing. Bluetooth integration rarely works. The app is up to date, system is up to date and it's not like I am using an old phone. It's not a cool, efficient app anymore. Overall bad experience. -- I installed it after a year and again the app stops, disappears, doesn't play, all for no reasons at all. This time I am cancelling for good",1,0,0
b1891aef-84f6-443a-936c-1abce0680f64,i renewed my subscription by autopay within two days I got a message saying you are no longer a premium Subscriber,1,0,0
00caf683-4f3f-4415-b2e6-8523c72bf95c,"App is now running like absolute garbage, takes ages to open, freezes whenever you click on a playlist then takes 20-30 sec to load it. Still randomly deletes downloaded songs too so they have to be re downloaded whenever you next connect to wifi. For a subscription service that a lot of people pay for it's incredible that this app just gets progressively worse",1,0,0
053399b6-3103-4852-98f0-aecd4effe700,"They said you can ""Cancel ANYTIME"" about your subscription to them but when I cancelled mine, because they like to auto-debit your link account without refund what they steal from your bank account. They are always like that ""AUTO-DEBIT"" without consideration of refunds but they always says in their adds ""you can cancel ANYTIME"" (with a refund) lol but when I cancelled mine, Spotify was like, Nevermind! and their customer service are sucks, you can't ask and talk to a real human but AI or bots",1,0,0
66b40dc0-0bab-41ed-9a38-2fce1cb538d3,"I paid ₹99 for a 1-month Premium plan on March 18, but my subscription ended on April 2 — not even 15 days. The app clearly showed it as a 1-month plan, which is very misleading. This is disappointing from Spotify. Please make your pricing and validity more transparent.",1,0,0
61d7889f-1c65-4dc6-a171-1488bb4c9cba,"For the size of your company and the amount of revenue you generate your app is rubbish. No video on TV app. It constantly switches playing on different devices I'm not using randomly. I use Spotify on Phone, PC and Google nest, this is frustrating when out and trying to play music on my phone but it switches to my PC at home at random. It also bugs out freezing on displaying incorrect song information and needs a phone reset to rectify.",1,0,0
5d75c7c0-4b53-446a-9515-5ec4381fccb8,This app is getting bad you need to be premium just to tap the music you want and I only have 6 skips? every update the apps were getting worse little by little It should be okay if this app should be back like what it is like last year that I can play any song even if you don't pay the premium,1,0,0
854096dc-b12c-4941-be4c-d4617ff632f5,Spotify gop gop gop!! we found alternative and happy to leave this platform,1,0,0
d6657070-d742-40cd-a1d5-813a7228d38f,"They just took away my subscription without a refund because of regional differences, when Spotify is not even available in my country. Why would you care? I was giving you money, not? Silly me for even paying at the first place when I can just install the modded version. We live in a world that pirating has less consequences than using other regions, then billions dollars companies complain all the time lol.",1,0,0
b8d5b52f-1e79-4078-adf8-e17f09f8911f,somehow they are actively making this app worse by increasing the number of interruptions aggressively even for premium users. dont recommend this to anyone.,1,0,0
813a13e0-c971-41ab-934d-d3de18b70302,"I'm a premium user for quiet a long time now and now it's suddenly stop, like i have a good internet connection and my spotify says I'm offline?? what's up with that? please fix this",1,0,0
2041fb45-9104-44a9-85f1-cf79d4d3182a,"[Premium user] I don't know how this UI passed QA... It may look fancy, but it's a real pain to use right now. Please add the search bar to filter liked songs by default (like it was before the update), I don't want to click through 2 menus just to search for a single song!! Also when I click on an Artist it takes 3 seconds to load and then it just shows the Albums with locally downloaded songs... how can this take so long?! I really consider switching to another music streaming service now.",1,0,0
